En	Aorist	Acc	Neg Ac	Unac	TRANS	PREPS
summarize	ⵣⵣⴳⵣⵍ	ⵣⵣⴳⵣⵍ	ⵣⵣⴳⵣⵉⵍ	ⵣⵣⴳⵣⵓⵍ	Trans	
gather	ⵙⵎⵓⵏ	ⵙⵎⵓⵏ	ⵙⵎⵓⵏ	ⵙⵎⵓⵏⴰ	Trans	
deny	ⵙⴱⴰⵡ	ⵙⴱⴰⵡ	ⵙⴱⴰⵡ	ⵙⴱⴰⵡ	Trans	




For "Acc" where you find "|":
the first part is used for "me" and singular "you", and the second part is used for the rest
For "(...)", they are prepositions or particles that are used with the verb.
With 'Intr', sometimes Tamazight uses prepostions different than English, so we defined them here as possible.
Example:
I am thinking about = ⴰⵔ ⵙⵡⵉⵏⴳⵉⵎⵖ ⴳ. (we used 'ⴳ' with 'ⵙⵡⵉⵏⴳⵎ')

