DNA: ⵙⵎⴽ
individual: ⵓⴼⵔⵉⴷ
individuals: ⵉⴼⵔⵉⴷⵏ
induction: ⵜⴰⵎⵙⴳⵍⵓⵜ
industry: ⵜⴰⵎⴳⵓⵔⵉ
inequality: ⵜⴰⵙⵎⵢⵉⴳⵉⵔⵜ
infinite: ⴰⵔⴳⵉⵔⴰⵏ
infinity: ⵜⴰⵔⴳⵉⵔⴰ
influence: ⵉⵣⵔⵉⵔⵉⵏ
information: ⵓⵎⵍⴰⵏ
infrastructure: ⵜⴰⴷⵓⵥⴽⵉⵡⵜ
inhabitance: ⵉⵎⵣⴷⴰⵖ
inheritance: ⵜⴰⵢⵙⵉ
initiation: ⴰⵙⵏⵜⵉ
inner: ⴰⴳⵏⵙⴰⵏ
innovation: ⵉⵙⵍⵍⵡⵉ
inorganic: ⴰⵔⴰⴳⵎⴰⵎⴰⵏ
input: ⵜⴰⵏⴽⵛⵓⵎⵜ
inputs: ⵜⵉⵏⴽⵛⵓⵎⵉⵏ
insect: ⴰⴱⵅⵅⵓⵢ
insecticide: ⴰⵏⵖⴰⴱⵅⵅⵓⵢ
insects: ⵉⴱⵅⵅⵓⵢⵏ
inside: ⴳ ⵓⴳⵏⵙⵓ
inspector: ⴰⵎⴳⴳⵉⵡⵙ
inspectors: ⵉⵎⴳⴳⵉⵡⴰⵙ
installation: ⴰⵣⵣⵓⴳⵣ
installed: ⵉⵜⵜⵓⵣⵓⴳⵣⵏ
installer: ⴰⵎⵣⵣⵓⴳⵣ
instance: ⵜⵓⵎⵎⴰⵏⵜ
instances: ⵜⵓⵎⵎⴰⵏⵉⵏ
institution: ⵜⵉⵎⵔⵙⵍⵜ
institutions: ⵜⵉⵎⵔⵙⴰⵍ
instruction: ⵜⴰⵏⴰⴹⵜ
instructions: ⵜⴰⵏⴰⴹⵉⵏ
instrument: ⴰⵍⵍⴰⵍ
insufficient: ⴰⵔⵎⵓⴷⵉ
insufficiently: ⵙ ⵓⵔⵎⵓⴷⵉ
integration: ⴰⵙⵉⴷⴼ
intellectual: ⴰⵎⴰⴳⴳⴰⴳ
intellectuals: ⵉⵎⴷⵍⴰⵙⵏ
intelligence: ⵜⵉⵖⵉⵙⵜ
intelligent: ⴰⵎⵉⵖⵉⵙ
intensity: ⵜⵉⴽⵔⵥⵉ
interaction: ⴰⵎⵢⴰⴳⴳⴰ
interactions: ⵉⵎⵢⴰⴳⴳⴰⵜⵏ
interactive: ⴰⵏⵎⵢⴰⴳⴳⴰ
interconnected: ⵉⵎⵢⴰⵇⵇⴰⵏⵏ
interdiction: ⵜⴰⴳⴷⵍⵜ
interest: ⴰⵏⵏⵣⴳⵎ
interests: ⵉⵏⵏⵣⴳⵓⵎⵏ
interface: ⴰⴳⵔⵓⴷⵎ
interference: ⴰⵎⵛⴽⵛⴰⵎ
intermediate: ⴰⵏⴰⵎⵎⴰⵙ
international: ⴰⴳⵔⴰⵖⵍⴰⵏ
interne: ⴰⴳⵏⵙⴰⵏ
internet: ⴰⵏⵜⵉⵔⵏⵉⵜ
interpretation: ⴰⵙⵏⵉⵎⴽ
interpreting: ⵓⵙⵏⵉⵎⴽ
intersection: ⴰⵎⵢⴰⴱⴰⵢ
interstellar: ⴰⴳⵔⵜⵔⵉ
interview: ⵜⴰⴷⵉⵡⵏⵏⵉⵜ
into: ⵖⵔ
introduces: ⴰⵔ ⵉⵙⵙⵏⴽⴰⴷ
introduction: ⵜⴰⵏⴽⴷⴰ
intuition: ⴰⴽⴰⵣ
invention: ⴰⵙⵏⵓⵍⴼⵓ
inventions: ⵉⵙⵏⵓⵍⴼⵓⵜⵏ
investing: ⴰⵙⵙⴰⵔⵡ
investment: ⴰⵙⵙⴰⵔⵡ
iron: ⵓⵣⵣⴰⵍ
irregular: ⴰⵔⵍⵓⴳⵏⴰⵏ
island: ⵜⴰⴳⵣⵉⵔⵜ
islands: ⵜⵉⴳⵣⵉⵔⵉⵏ
isometry: ⵜⴰⵣⵓⴽⵜⵉⵜ
isotope: ⴰⴽⵏⵉⴷⴳ
isotopes: ⵉⴽⵏⵉⴷⴳⵏ
it: ⵏⵜⵜⴰ
item: ⴰⴼⵔⴷⵉⵙ
items: ⵉⴼⵔⴷⵉⵙⵏ
iterating: ⴰⵍⵍⴰⵙ
iteration: ⴰⵍⵍⴰⵙ
iterations: ⴰⵍⵍⴰⵙⵏ
its: ⵏⵏⵙ
itself: ⵙ ⵢⵉⵖⴼ ⵏⵏⵙ
jackal: ⵓⵛⵛⵏ
january: ⵉⵏⵏⴰⵢⵔ
japan: ⴰⵢⴰⴱⴰⵏ
jaw: ⴰⴳⵊⴰ
job: ⵜⴰⵡⵓⵔⵉ
journal: ⴰⵖⵎⵉⵙ
journal: ⴰⵖⵎⵉⵙ
journey: ⵜⴰⵏⵢⵓⴷⴷⵓⵜ
joyful: ⵉⵎⵎⵔⵏ
jugement: ⴰⵣⴰⵔⴰⴼ
jugements: ⵉⵣⴰⵔⴰⴼⵏ
jupiter: ⴰⴷⴰⵏⴱⴰⵍⴰ
just: ⵀⵍⵍⵉ
key: ⵜⴰⵙⴰⵔⵓⵜ
kid: ⴰⵣⵣⴰⵏ
kids: ⴰⵣⵣⴰⵏⵏ
kilo: ⴽⵉⵍⵓ
kilometre: ⴽⵉⵍⵓⵎⵉⵜⵔ
kind: ⴰⵏⴰⵡ
kindergarten: ⵜⵓⵔⵜⵉⵜ ⵏ ⵉⵎⵥⵢⴰⵏⵏ
kinematics: ⵜⴰⵙⵏⵎⵓⵙⵙⵓⵜ
kinetic: ⴰⵏⵎⴰⵙⵙⵓ
kinetics: ⵜⴰⵎⵓⵙⵙⴰⵢⵜ
king: ⴰⴳⵍⵍⵉⴷ
kitchen: ⴰⵏⵡⴰⵍ
knee: ⴰⴼⵓⴷ
knowledge: ⵜⴰⵎⵙⵙⵏⴰ
known: ⵉⵜⵜⵓⵙⵙⴰⵏⵏ
laboratories: ⵉⵙⵓⵔⴰⵎ
laboratory: ⴰⵙⴰⵔⵎ
ladle: ⴰⵖⵏⵊⴰ
lake: ⴰⴳⵍⵎⵉⵎ
lamp: ⵜⴰⵙⴰⴼⵓⵜ
lamps: ⵜⵉⵙⴰⴼⵓⵜⵉⵏ
land: ⴰⴽⴰⵍ
language: ⵜⵓⵜⵍⴰⵢⵜ
languages: ⵜⵓⵜⵍⴰⵢⵉⵏ
large: ⴰⵅⴰⵜⴰⵔ
largest: ⴰⴽⴽⵯ ⵉⴳⴰⵏ ⴰⵎⵇⵔⴰⵏ
last: ⴰⵏⴳⴳⴰⵔⵓ
laughter: ⵜⴰⴹⵙⴰ
lava: ⴰⵍⴰⴼⴰ
law: ⴰⵙⵍⴳⵏ
laws: ⵉⵙⵍⴳⵏⵏ
layer: ⵜⴰⵔⴰⵢⵜ
layers: ⵜⴰⵔⴰⵢⵉⵏ
lead: ⴰⵍⴷⵓⵏ
leader: ⴰⵎⵖⴰⵔ
leaf: ⵉⴼⵔ
learn: ⵍⵎⴷ
learning: ⴰⵍⵎⵎⵓⴷ
least: ⵉⴷⵔⵓⵙ
left: ⴰⵣⵍⵎⴰⴹ
leg: ⴰⴹⴰⵕ
legal: ⵓⵍⴳⵉⵏ
legality: ⵜⵉⵍⵍⵓⴳⵏⴰ
legend: ⵓⵎⵉⵢ
legends: ⵓⵎⵉⵢⵏ
legitimacy: ⵜⴰⵣⵔⴼⴰ
legs: ⵉⴹⴰⵕⵏ
length: ⵜⴰⵖⵣⵉ
leopard: ⴰⵖⵉⵍⴰⵙ
lesson: ⵜⴰⵎⵙⵉⵔⵜ
lessons: ⵜⵉⵎⵙⵉⵔⵉⵏ
level: ⴰⵙⵡⵉⵔ
levels: ⵉⵙⵡⵉⵔⵏ
lexical: ⴰⵎⴰⵡⴰⵍⴰⵏ
lexicon: ⴰⵎⴰⵡⴰⵍ
libraries: ⵜⵉⵙⴷⵍⵉⵙⵉⵏ
library: ⵜⴰⵙⴷⵍⵉⵙⵜ
licence: ⵜⵓⵔⴰⴳⵜ
life: ⵜⵓⴷⵔⵜ
light: ⵜⵉⴼⴰⵡⵜ
lightning: ⵓⵙⵎ
like: ⵣⵓⵏ ⴷ
limit: ⴰⵡⵜⵜⵓ
limits: ⵉⵡⵜⵜⴰ
line: ⴰⵣⵔⵉⴳ
linear: ⴰⵎⵣⵉⵔⴳ
lines: ⵉⵣⵔⵉⴳⵏ
link: ⴰⵙⵖⵓⵏ
links: ⵉⵙⵖⵓⵏⵏ
lion: ⵉⵣⵎ
liquid: ⴰⴱⵍⵓⵍⵓ
list: ⵜⴰⵍⴳⴰⵎⵜ
lists: ⵜⵉⵍⴳⴰⵎⵉⵏ
literature: ⵜⴰⵙⴽⵍⴰ
litre: ⵍⵉⵜⵔⵓ
liver: ⵜⴰⵙⴰ
livestock: ⴰⵛⵜⴰⵍ
living: ⵉⴷⴷⵔⵏ
lizard: ⵜⴰⵣⵔⵎⴻⵎⵎⵓⵢⵜ
loading: ⴰⴳⴳⴰⵎ
loan: ⴰⵔⵟⵟⴰⵍ
loans: ⵉⵔⵟⵟⴰⵍⵏ
local: ⴰⴷⵉⴳⴰⵏ
location: ⴰⴷⵖⴰⵔ
logic: ⵜⴰⵎⵥⵍⴰ
logical: ⴰⵎⵥⵍⴰⵏ
logically: ⵙ ⵜⵎⵥⵍⴰ
london: ⵍⵓⵏⴷⵓⵏ
long: ⵓⵖⵣⵉⴼ
loom: ⴰⵥⵟⵟⴰ
loop: ⵜⵓⵍⵍⵓⵙⵜ
loops: ⵜⵓⵍⵍⵓⵙⵉⵏ
loser: ⴰⵎⴳⵓⴼ
losers: ⴰⵎⴳⵓⴼⵏ
lot: ⵜⵓⴳⵜⵜ
love: ⵜⴰⵢⵔⵉ
lunar: ⴰⵢⵢⵓⵔⴰⵏ
lunch: ⵉⵎⴽⵍⵉ
machine: ⵜⴰⵎⴰⵛⵉⵏⵜ
machines: ⵜⵉⵎⴰⵛⵉⵏⵉⵏ
macos: ⵎⴰⴽⵓⵙ
macroscopic: ⴰⵎⵖⵔⵥⵕⴰⵢ
magma: ⴰⵎⴰⴳⵎⴰ
magnetic: ⴰⴷⴽⵔⴰⵏ
magnetism: ⵜⴰⴷⴽⵔⵉⵜ
main: ⴰⵙⵉⵍⴰⵏ
majority: ⵜⵓⴳⵜⵜ
making: ⴰⵙⴽⴽⵉⵔ
mammal: ⴰⵙⵓⵟⵟⴰⴹ
mammals: ⵉⵙⵓⵟⵟⴰⴹⵏ
man: ⴰⵔⴳⴰⵣ
management: ⴰⵙⵡⵓⴷⴷⵓ
manifestation: ⵜⴰⵎⵙⴽⴰⵏⵜ
manifold: ⴰⵎⵙⴳⵔⵓ
manipulation: ⴰⵙⵎⵙⵓⵔⴰⵔ
many: ⵎⵏⵏⴰⵡ
march: ⵎⴰⵕⵚ
marginalization: ⴰⵙⵙⵉⵏⴼ
market: ⴰⴳⴰⴷⴰⵣ
markets: ⵉⴳⴰⴷⴰⵣⵏ
marriage: ⵉⵡⵍ
mars: ⵉⵎⵣⵉⵡⵖ
mass: ⵜⴰⵙⴰⴽⴰⵢⵜ
math: ⵜⵓⵙⵏⴰⴽⵜ
mathematical: ⴰⵙⵏⴰⴽⵜⴰⵏ
mathematics: ⵜⵓⵙⵏⴰⴽⵜ
matrix: ⵉⵙⵉⵔⵡ
matter: ⵜⴰⵏⴳⴰ
maybe: ⵢⴰⵍⵍⴼⵓⵙ
meaning: ⴰⵏⴰⵎⴽ
meaningful: ⴰⵎⵙⵏⵓⵎⴽ
measurement: ⴰⵙⵖⴰⵍ
measurements: ⵉⵙⵖⴰⵍⵏ
meat: ⴰⴽⵙⵓⵎ
mechanics: ⵜⴰⵙⵏⴷⴷⵓⵜ
mechanism: ⵜⴰⵙⵎⵙⴷⴷⵓⵜ
mechanisms: ⵜⵉⵙⵎⵙⴷⴷⵓⵜⵉⵏ
median: ⴰⵏⴰⵎⵎⴰⵙ
medical: ⴰⵎⵙⵏⵉⵊⵊⵉ
medicine: ⵜⴰⵙⵏⵉⵊⵊⵉⵜ
medium: ⴰⵏⴰⵎⵎⴰⵙ
member: ⴰⴳⵎⴰⵎ
members: ⵉⴳⵎⴰⵎⵏ
membrane: ⴰⵍⵎⴳⵎⴰⵎ
memory: ⵜⵉⵎⴽⵜⵉⵜ
memories: ⵜⵉⵎⴽⵜⵉⵜⵉⵏ
men: ⵉⵔⴳⴰⵣⵏ
mentality: ⵜⵉⴳⵓⵔⵔⵡⴰ
menu: ⵜⴰⵍⴳⴰⵎⵜ
mercury: ⴰⵣⵡⴰⵇ
message: ⵜⴰⴱⵔⴰⵜ
messages: ⵜⵉⴱⵔⴰⵜⵉⵏ
metabolic: ⴰⵎⵉⵜⴰⴱⵓⵍⵉ
metabolism: ⴰⵎⵉⵜⴰⴱⵓⵍⵉⵣⵎ
metaphysical: ⴰⴼⵔⴳⴰⵎⴰⵏ
metaphysics: ⵜⴰⴼⵔⴳⴰⵎⴰ
metathesis: ⵜⵉⵎⵍⴻⵍⵍⵉⵜ
meteor: ⴰⵣⵔⵉⵜ
meteors: ⵉⵣⵔⵉⵜⵏ
method: ⵜⴰⴱⵔⵉⴷⵜ
methodology: ⵜⴰⵙⵏⴱⵔⵉⴷⵜ
methods: ⵜⵉⴱⵔⵉⴷⵉⵏ
metonymy: ⵜⴰⵢⴹⵉⵙⵎ
metrology: ⵜⴰⵙⵏⵙⵖⵉⵍⵜ
mice: ⵉⵖⵔⴷⴰⵢⵏ
microbe: ⴰⵎⵥⵉⴷⵔ
microorganism: ⴰⵎⵥⵉⴷⵓⵙ
microorganisms: ⵉⵎⵥⵉⴷⵓⵙⵏ
microprocessor: ⴰⵎⵥⵉⵙⵎⴽⴰⵍ
microscope: ⴰⵎⵥⵉⵥⵕⵉ
microscopic: ⴰⵎⵥⵉⵥⵕⴰⵢ
microsystem: ⴰⵎⵥⵉⵏⴳⵔⴰⵡ
microsystems: ⵉⵎⵥⵉⵏⴳⵔⴰⵡⵏ
microwave: ⵜⴰⵎⵥⵉⵢⵢⵓⵖⵜ
middle: ⵜⵓⵥⵥⵓⵎⵜ
midnight: ⵜⵓⵥⵥⵓⵎⵜ ⵏ ⵢⵉⴹ
migration: ⴰⵣⵡⴰⴳ
milk: ⴰⴽⴼⴼⴰⵢ
mill: ⵜⵉⵙⵉⵔⵜ
million: ⴰⴳⵏⴷⵉⴷ
millions: ⵉⴳⵏⴷⵉⴷⵏ
mind: ⵜⴰⴳⵔⵔⴰⵡⵜ
mindset: ⵜⵉⴳⵓⵔⵔⵡⴰ
mine: ⵡⵉⵏⵓ
mine(ore): ⴰⵣⴰⵖⵓⵣ
mineral: ⴰⵎⵖⵓⵣ
mineralogy: ⵜⴰⵙⵏⵎⵖⵓⵣⵜ
minerals: ⵉⵎⵖⵓⵣⵏ
minorities: ⵜⵉⴷⵔⵓⵙⵉⵏ
minority: ⵜⴰⴷⵔⵓⵙⵜ
minute: ⵜⵓⵙⴷⵉⴷⵜ
minutes: ⵜⵓⵙⴷⵉⴷⵉⵏ
miracle: ⵜⴰⵎⴽⵔⵔⴰ
miracles: ⵜⵉⵎⴽⵔⵔⵉⵡⵉⵏ
mirror: ⵜⵉⵙⵉⵜ
mirrors: ⵜⵉⵙⵉⵜⵉⵏ
mission: ⵜⴰⵖⵍⵉⴼⵜ
missions: ⵜⵉⵖⵍⵉⴼⵉⵏ
mistake: ⴰⵣⴳⴰⵍ
mistakes: ⵉⵣⴳⴰⵍⵏ
mitochondria: ⴰⵎⵉⵜⵓⴽⵓⵏⴷⵔⵉ
mitochondrial: ⴰⵎⵉⵜⵓⴽⵓⵏⴷⵔⵉ
mixing: ⴰⵙⵎⵙⵢ
mobile: ⴰⵣⵉⵔⴰⵣ
modalities: ⵜⵉⵙⴽⴰⵔⵉⵏ
modality: ⵜⴰⵙⴽⴰⵔⵜ
mode: ⴰⵎⵓⴽⵏ
model: ⴰⵣⵓⵔⵜ
models: ⵉⵣⵓⵔⵜⴰ
modern: ⴰⵜⵔⴰⵔ
modernity: ⵜⴰⵜⵔⴰⵔⵉⵜ
modes: ⵉⵎⵓⴽⵏⵏ
modular: ⴰⵣⴳⵔⴰⵔ
module: ⴰⵣⴳⵔⵉⵔ
modules: ⵉⵣⴳⵔⵉⵔⵏ
molecular: ⴰⵏⵛⵜⵉⵡⴰⵏ
molecule: ⵜⴰⵏⵛⵜⵉⵡⵜ
molecules: ⵜⵉⵏⵛⵜⵉⵡⵉⵏ
momentum: ⵜⵉⵔⵎⵍⵜ ⵜⵉⵎⵙⴷⴷⵓⵜ
money: ⵉⴷⵔⵉⵎⵏ
month: ⴰⵢⵢⵓⵔ
months: ⵉⵔⵏ
monday: ⴰⵢⵏⴰⵙ
moon: ⴰⵢⵢⵓⵔ
moons: ⴰⵢⵢⵓⵔⵏ
more: ⵓⴳⴳⴰⵔ
moreover: ⵙ ⵜⵎⵔⵏⵉⵡⵜ
morning: ⵜⵉⴼⴰⵡⵜ
morphology: ⵜⴰⵙⵏⴰⵍⵖⴰ
morphometric: ⴰⴽⵜⴰⵍⵖⴰⵏ
morocco: ⵎⵓⵔⴰⴽⵓⵛ
moset: ⵜⵓⴳⵜⵜ
mosque: ⵜⴰⵎⵉⵣⴳⵉⴷⴰ
most: ⵓⴳⴳⴰⵔ
mother: ⵜⴰⵢⵎⵎⴰⵜ
motion: ⴰⵎⵓⵙⵙⵓ
motocycle: ⵜⴰⵙⵏⵙⵖⴰⵍⵜ
mountain: ⴰⴷⵔⴰⵔ
mountains: ⵉⴷⵔⴰⵔⵏ
mouth: ⵉⵎⵉ
mouths: ⵉⵎⴰⵡⵏ
mounting: ⴰⵙⵎⴷⵢ
mouse: ⴰⵖⵔⴷⴰ
movement: ⴰⵎⵓⵙⵙⵓ
movements: ⵉⵎⵓⵙⵙⵓⵜⵏ
multi-modal: ⴰⴳⵜⴰⵣⵓⵔⵜ
multiple: ⵎⵏⵏⴰⵡ
multiplication: ⴰⵙⴳⴰⵜ
multiplicity: ⵜⴰⵎⴰⴳⵓⵜⵜ
murder: ⵜⵉⵎⵏⵖⵉⵡⵜ
muscle: ⵜⴰⴽⵙⵓⵎⵜ
muscles: ⵜⵉⴽⵙⵓⵎⵉⵏ
muscular: ⴰⵏⴽⵙⵓⵎ
music: ⴰⵥⴰⵡⴰⵏ
must: ⵉⴼⵓⴽⴽ
mutable: ⴰⵎⵎⵏⴼⴰⵍ
mutation: ⵜⴰⴹⵕⵎⵉⵙⵜ
mutations: ⵜⵉⴹⵕⵎⵉⵙⵉⵏ
my: ⵉⵏⵓ
mysterious: ⵉⵎⴷⵔⴳ
myth: ⵓⵎⵉⵢ
name: ⵉⵙⵎ
nanotechnologies: ⵜⴰⵏⴰⵏⵓⵙⵏⵜⵡⵉⵍⵉⵏ
nanotechnology: ⵜⴰⵏⴰⵏⵓⵙⵏⵜⵡⵉⵍⵜ
nation: ⴰⵖⵍⴰⵏ
national: ⴰⵎⵓⵔⴰⵏ
natural: ⴰⴳⴰⵎⴰⵏ
nature: ⴰⴳⴰⵎⴰ
natures: ⵉⴳⴰⵎⴰⵜⵏ
navigation: ⵜⵓⵏⵉⴳⵉⵏ
nebula: ⵉⵡⵉⵥ
nebulae: ⵉⵡⵉⵥⵏ
necessary: ⵉⵛⵛⵍⵏ
neck: ⴰⵎⴳⴳⵕⴹ
needle: ⵜⵉⵙⵙⴳⵏⵉⵜ
negative: ⵓⵣⴷⵉⵔ
negotiation: ⴰⵎⵙⴰⵛⴽⴰ
neighbor: ⴰⵏⴰⵔⴰⴳ
neighbors: ⵉⵏⴰⵔⴰⴳⵏ
neptune: ⵏⵉⴱⵜⵓⵏ
nerve: ⴰⵣⵍⵍⵓⵎ
nervous: ⴰⵏⵣⵍⵓⵎ
nest: ⴰⴳⴷⴼ
network: ⵜⴰⵔⴰⵜⵙⴰ
networks: ⵜⵉⵔⴰⵜⵙⵉⵡⵉⵏ
neural: ⴰⵏⵣⵍⵓⵎ
neurological: ⴰⵙⵏⵣⵍⵎⴰⵏ
neurology: ⵜⴰⵙⵏⵣⵍⵍⵓⵎⵜ
neuron: ⵜⴰⵖⵔⴰⵙⵜ ⵜⴰⵏⵣⵍⵓⵎⵜ
neurons: ⵜⵉⵖⵔⴰⵙⵉⵏ ⵜⵉⵏⵣⵍⵓⵎⵉⵏ
neutral: ⴰⵔⴰⵡⵙⴰⵏ
neutrality: ⵜⴰⵔⴰⵡⵙⵉⵜ
neutron: ⴰⵏⵢⵓⵜⵕⵓⵏ
neutrons: ⵉⵏⵢⵓⵜⵕⵓⵏⵏ
new: ⴰⵎⴰⵢⵏⵓ
news: ⵉⵏⵖⵎⵉⵙⵏ
newspaper: ⴰⵖⵎⵉⵙ
never: ⵊⵊⵓ
next: ⴰⵏⴹⴼⴰⵕ
night: ⵉⴹ
nightmare: ⴱⴰⵖⵔⴰⵔ
nine: ⵜⵥⴰ
ninety: ⵜⵥⴰⵎⵔⴰⵡ
nipple: ⵜⵉⴷⵔⵖⵜ
no: ⵓⵀⵓ
noon: ⴰⵣⴰⵍ
node: ⵜⵓⴽⵔⵉⵙⵜ
nodes: ⵜⵓⴽⵔⵉⵙⵉⵏ
non-physical: ⴰⵔⴰⵏⴳⴰⵏ
none: ⴰⵎⵢⴰ
norm: ⵜⴰⵍⵓⴳⵏⵜ
north: ⴰⴳⴰⴼⴰ
nose: ⴰⵏⵣⴰⵔ
noses: ⴰⵏⵣⴰⵔⵏ
nostril: ⵜⵉⵏⵣⵔⵜ
notary: ⴰⵙⵏⵜⴰⵎ
notebook: ⴰⵍⵓⴳ
notebooks: ⵉⵍⵓⴳⵏ
nothing: ⴰⵎⵢⴰ
notice: ⵜⵓⵙⵎⵉⵔⵜ
noun: ⵉⵙⵎ
novel: ⵓⵏⴳⴰⵍ
novels: ⵓⵏⴳⴰⵍⵏ
now: ⵖⵉⵍⴰ
nuclear: ⴰⵖⵢⴰⵢⴰⵏ
nucleus: ⴰⵖⵢⴰⵢ
number: ⴰⵎⴹⴰⵏ
numbers: ⵉⵎⴹⴰⵏⵏ
nutrients: ⵉⴼⵔⴷⵉⵙⵏ ⵉⵎⵙⴰⴷⵓⵔⵏ
object: ⴰⵙⴽⴽⵉⵏ
objective: ⴰⵙⴰⵖⴷ
objectives: ⵉⵙⴰⵖⴷⵏ
objectivity: ⵜⴰⵎⵙⵖⴰⵔⴰ
objects: ⵉⵙⴽⴽⵉⵏⵏ
observable: ⴰⵣⵎⵔⵙⵏⴰⵖⵙ
observation: ⴰⵙⵏⴰⵖⵙ
observations: ⵉⵙⵏⴰⵖⵙⵏ
observer: ⴰⵎⵙⵏⴰⵖⵙ
observers: ⵉⵎⵙⵏⴰⵖⵙⵏ
obstacle: ⴰⵙⴷⵔⵎ
obstacles: ⵉⵙⴷⵔⴰⵎ
obtain: ⴰⵎⵥ
obtaining: ⴰⵎⵎⴰⵥ
occasion: ⵜⴰⵎⵍⴷⴰ
occasions: ⵜⵉⵎⵍⴷⵉⵡⵉⵏ
occur: ⵎⵙⴰⵔ
ocean: ⴰⴳⴰⵔⴰⵡ
oceans: ⵉⴳⴰⵔⴰⵡⵏ
of: ⵏ
official: ⴰⵎⴰⴷⴷⴰⴷ
ok: ⵎⵢⵢⴰ ⵏ ⵄⵍⴰ ⵅⵉⵔ
old: ⴰⵡⵙⵙⴰⵔ
olives: ⴰⵣⵎⵎⵓⵔ
on: ⵖⴼ
once: ⴰⴷ ⵓⴽⴰⵏ
oncology: ⵜⴰⵙⵏⴼⴰⴼⵜ
one: ⵢⴰⵏ
onions: ⴰⵥⴰⵍⵉⵎ
online: ⴳ ⵓⵣⵔⵉⴳ
only: ⵖⵙ
open-source: ⵜⴰⵔⵥⵎⵙⴰⴳⵎⵜ
open: ⵔⵥⵎ
operating: ⴰⵙⵎⴰⵀⵍ
operation: ⵜⴰⵎⵀⵍⵜ
operations: ⵜⵉⵎⵀⵍⵉⵏ
operator: ⴰⵎⴰⵀⴰⵍ
opinion: ⵜⴰⵏⵏⴰⵢⵜ
opportunity: ⴰⵙⵓⵍⴼ
opposite: ⴰⵏⵎⴳⴰⵍ
opposition: ⵜⴰⵏⵎⴳⵍⴰ
optic: ⵉⵎⵙⵏⴰⴼⴰ
optics: ⵜⴰⵙⵏⴰⴼⴰⵜ
optimal: ⵉⵎⵉⴼⵉⵡ
optimalisation: ⴰⵙⵖⵓⴷⵓ
option: ⵜⴰⴷⵖⵔⵜ
optional: ⴰⴷⵖⵔⴰⵏ
options: ⵜⵉⴷⵖⵔⵉⵏ
or: ⵏⵖ
oral: ⴰⵎⵉⵡⴰⵏ
orality: ⵜⵉⵎⴰⵡⵉⵜ
orbit: ⴰⵥⵢⴰⵕ
orbits: ⵉⵥⵢⴰⵕⵏ
orchard: ⵓⵔⵜⵉ
orchards: ⵓⵔⵜⴰⵏ
order: ⴰⵏⵎⴰⵍⴰ
ordinary: ⴰⵎⴰⴳⵏⵓ
organ: ⴰⴳⵎⴰⵏ
organic: ⴰⴳⵎⴰⵎⴰⵏ
organised: ⵉⵏⵎⴰⵍⴰⵏ
organism: ⵓⴷⵓⵙ
organisms: ⵓⴷⵓⵙⵏ
organization: ⵜⴰⵎⴰⴷⴷⴰⵙⵜ
organized: ⵉⵜⵜⵓⵙⵓⴷⵙⵏ
organs: ⵉⴳⵎⴰⵎⵏ
orientation: ⴰⵙⵡⴰⵍⴰ
orientations: ⵉⵙⵡⴰⵍⴰⵜⵏ
orifice: ⵜⵉⴼⵍⵉⵜ
origin: ⴰⵙⴰⵍⴰ
original: ⴰⵙⴰⵍⴰⵏ
origins: ⵉⵙⴰⵍⴰⵜⵏ
orthogonal: ⴰⴱⴷⴷⴰⵢ
other: ⵢⴰⴹⵏ
others: ⵡⵉⵢⵢⴰⴹ
otherwise: ⵎⴽ ⵓⵀⵓ
our: ⵏⵏⵖ
ours: ⵡⵉⵏⵏⵖ
ourselves: ⵉⵖⴼⴰⵡⵏ ⵏⵏⵖ
output: ⵜⵓⴼⴼⵖⴰ
outside: ⴱⵕⵕⴰ
overload: ⵜⴰⵏⴳⴽⵜⵔⵜ
ox: ⴰⴼⵓⵏⴰⵙ
page: ⵜⴰⵙⵏⴰ
pages: ⵜⴰⵙⵏⵉⵡⵉⵏ
pair: ⴰⵢⵓⴳⴰⵏ
pairs: ⴰⵢⵓⴳⴰⵏⵏ
pants: ⴰⴽⵔⴱⴰⵢ
paper: ⴰⴼⵔⴽⵓⴽ
paradigm: ⴰⵎⵖⴰⵡⴰⵍ
paradigms: ⵉⵎⵖⴰⵡⴰⵍⵏ
parallel: ⴰⵏⵎⵙⴰⴷⴰⵖ
parent: ⴰⵎⴰⵔⴰⵡ
parents: ⵉⵎⴰⵔⴰⵡⵏ
parser: ⴰⵎⵙⵍⴰⴹ
parsing: ⴰⵙⵍⴰⴹ
part: ⴰⴳⵣⵣⵓⵎ
particle: ⴰⴼⴽⴽⵉⵡ
particles: ⵉⴼⴽⴽⵉⵡⵏ
particularly: ⵙⵍⴰⵡⴰⵏ
partridge: ⵜⴰⵙⴽⴽⵓⵔⵜ
parts: ⵉⴳⵣⵣⵓⵎⵏ
party: ⵜⴰⵎⵖⵔⴰ
passcode: ⵜⴰⵏⴳⴰⵍⵜ ⵏ ⵓⵣⵔⴰⵢ
passcodes: ⵜⴰⵏⴳⴰⵍⵉⵏ ⵏ ⵓⵣⵔⴰⵢ
passion: ⴰⵏⵏⵖⵣⵍ
passions: ⵉⵏⵏⵖⵣⴰⵍ
password: ⵜⴰⴳⵓⵔⵉ ⵏ ⵓⵣⵔⴰⵢ
passwords: ⵜⴰⴳⵓⵔⵉⵡⵉⵏ ⵏ ⵓⵣⵔⴰⵢ
past: ⵉⵣⵔⵉ
paste: ⵙⵍⵖ
